"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_7234","","hypothetical protein","76","2","0","151","100.0","98.69281045751634","inf","3.3676830424951353e-59","3.742506165124844e-55","1.2475020550416147e-55","1","1","0","1.0","1.0"
"group_6159","","hypothetical protein","76","2","0","151","100.0","98.69281045751634","inf","3.3676830424951353e-59","3.742506165124844e-55","1.2475020550416147e-55","1","1","0","1.0","1.0"
"group_2742","","hypothetical protein","76","2","0","151","100.0","98.69281045751634","inf","3.3676830424951353e-59","3.742506165124844e-55","1.2475020550416147e-55","1","1","0","1.0","1.0"
"group_9022","","Major facilitator superfamily (MFS) profile domain-containing protein;hypothetical protein","76","3","0","150","100.0","98.0392156862745","inf","8.868232011902719e-58","9.855266234827491e-54","4.284898362968474e-55","1","1","0","1.0","1.0"
"allB","allB","allantoinase","76","3","0","150","100.0","98.0392156862745","inf","8.868232011902719e-58","9.855266234827491e-54","4.284898362968474e-55","1","1","0","1.0","1.0"
"allA","allA","ureidoglycolate hydrolase","76","3","0","150","100.0","98.0392156862745","inf","8.868232011902719e-58","9.855266234827491e-54","4.284898362968474e-55","1","1","0","1.0","1.0"
"group_5417","","Carbamate kinase","76","3","0","150","100.0","98.0392156862745","inf","8.868232011902719e-58","9.855266234827491e-54","4.284898362968474e-55","1","1","0","1.0","1.0"
"group_4765","","Apea-like HEPN domain-containing protein","76","3","0","150","100.0","98.0392156862745","inf","8.868232011902719e-58","9.855266234827491e-54","4.284898362968474e-55","1","1","0","1.0","1.0"
"allD","allD","ureidoglycolate dehydrogenase","76","3","0","150","100.0","98.0392156862745","inf","8.868232011902719e-58","9.855266234827491e-54","4.284898362968474e-55","1","1","0","1.0","1.0"
"group_3682","","Hydroxypyruvate isomerase","76","3","0","150","100.0","98.0392156862745","inf","8.868232011902719e-58","9.855266234827491e-54","4.284898362968474e-55","1","1","0","1.0","1.0"
"group_3659","","(S)-ureidoglycine aminohydrolase","76","3","0","150","100.0","98.0392156862745","inf","8.868232011902719e-58","9.855266234827491e-54","4.284898362968474e-55","1","1","0","1.0","1.0"
"allH","allH","Oxamate carbamoyltransferase subunit AllH","76","3","0","150","100.0","98.0392156862745","inf","8.868232011902719e-58","9.855266234827491e-54","4.284898362968474e-55","1","1","0","1.0","1.0"
"allR","allR","DNA-binding transcriptional repressor AllR","76","3","0","150","100.0","98.0392156862745","inf","8.868232011902719e-58","9.855266234827491e-54","4.284898362968474e-55","1","1","0","1.0","1.0"
"glxR","glxR","2-hydoxy-3-oxopropionate reductase GlxR","76","3","0","150","100.0","98.0392156862745","inf","8.868232011902719e-58","9.855266234827491e-54","4.284898362968474e-55","1","1","0","1.0","1.0"
