Genome ID,GenBank Accessions
573.73027,"CP152063,CP152064,CP152065"
573.73035,"CP152338,CP152339"
573.78084,"CP165612,CP165613,CP165614"
573.78607,"CP167968,CP167969"
573.78609,"CP167970,CP167971,CP167972"
573.78610,"CP167973,CP167974,CP167975"
573.78611,"CP167976,CP167977,CP167978"
573.78612,"CP167979,CP167980"
573.78613,"CP167981,CP167982"
573.78616,"CP168049,CP168050"
573.78617,"CP168046,CP168047,CP168048"
573.78618,"CP168055,CP168056"
573.78619,"CP168053,CP168054"
573.78620,"CP168051,CP168052"
573.80604,JBEWTS000000000
573.80605,JBEWTU000000000
573.80606,JBEWTT000000000
573.80607,JBEWTR000000000
573.80608,JBEWTV000000000
573.80610,JBEWTW000000000
573.80611,JBEWTX000000000
573.81255,CP174450
573.81256,CP174451
573.81257,CP174452
573.81714,"CP168099,CP168100"
573.81747,JBKIKJ000000000
573.81762,"CP176880,CP176881"
573.81763,"CP176882,CP176883"
573.81764,"CP176884,CP176885"
573.81765,"CP176886,CP176887"
573.81766,"CP176888,CP176889"
573.81767,"CP176894,CP176895"
573.81768,"CP176964,CP176965"
573.81769,"CP176974,CP176975,CP176976"
573.81770,"CP176944,CP176945"
573.81771,"CP176969,CP176970,CP176971"
573.81772,"CP176961,CP176962,CP176963"
573.81773,"CP176942,CP176943"
573.81774,"CP176981,CP176982"
573.81776,"CP176954,CP176955,CP176956"
573.81777,"CP176952,CP176953"
573.81778,"CP176979,CP176980"
573.81789,"CP176890,CP176891"
573.81791,"CP176892,CP176893"
573.81792,"CP176896,CP176897"
573.81793,"CP176900,CP176901"
573.81794,"CP176902,CP176903"
573.81795,"CP176907,CP176906"
573.81796,"CP176904,CP176905"
573.81797,"CP176910,CP176911"
573.81798,CP176926
573.81799,"CP176924,CP176925"
573.81800,"CP176927,CP176928,CP176929"
573.81801,"CP176932,CP176933"
573.81802,"CP176930,CP176931"
573.81803,"CP176946,CP176947"
573.81804,"CP176940,CP176941"
573.81805,"CP176972,CP176973"
573.81806,"CP176977,CP176978"
573.81807,"CP176898,CP176899"
573.81808,"CP176959,CP176960"
573.81810,"CP176951,CP176950"
573.81811,"CP176968,CP176966,CP176967"
573.81812,"CP176948,CP176949"
573.81813,"CP176912,CP176913"
573.81814,"CP176957,CP176958"
573.81815,"CP176908,CP176909"
573.81816,"CP176919,CP176920,CP176921"
573.81817,"CP176914,CP176915"
573.81818,"CP176922,CP176923"
573.81819,"CP176916,CP176917,CP176918"
573.81820,"CP176934,CP176935"
573.81821,"CP176936,CP176937"
573.81822,"CP176939,CP176938"
573.81877,"CP177191,CP177192,CP177193,CP177194,CP177195"
573.83643,"CP180415,CP180416,CP180417"
573.84178,"CP182887,CP182893,CP182886,CP182888,CP182889,CP182890,CP182891,CP182892"
573.84281,"CP183012,CP183011,CP183013"
573.84285,"CP183014,CP183015,CP183016"
573.84288,"CP183017,CP183018"
