All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCA_000338255.1_KP1_contigs_1-272_genomic  GCA_000474015.1_ASM47401v1_genomic  GCA_001741665.1_ASM174166v1_genomic  GCA_001939855.1_ASM193985v1_genomic  GCA_002027655.1_ASM202765v1_genomic  GCA_002115605.1_ASM211560v1_genomic  GCA_002210445.1_ASM221044v1_genomic  GCA_002831525.1_ASM283152v1_genomic  GCA_002845865.1_ASM284586v1_genomic  GCA_002845905.1_ASM284590v1_genomic  GCA_002845945.1_ASM284594v1_genomic  GCA_002845965.1_ASM284596v1_genomic  GCA_002870865.1_ASM287086v1_genomic  GCA_002870885.1_ASM287088v1_genomic  GCA_002870945.1_ASM287094v1_genomic  GCA_002870985.1_ASM287098v1_genomic  GCA_002871025.1_ASM287102v1_genomic  GCA_002890425.1_ASM289042v1_genomic  GCA_003065165.1_ASM306516v1_genomic  GCA_008630125.1_ASM863012v1_genomic  GCA_008830545.1_ASM883054v1_genomic  GCA_008830555.1_ASM883055v1_genomic  GCA_009079735.1_PDT000186922.2_genomic  GCA_009909305.1_ASM990930v1_genomic  GCA_009909325.1_ASM990932v1_genomic  GCA_009931075.1_ASM993107v1_genomic  GCA_013055785.1_ASM1305578v1_genomic  GCA_013056085.1_ASM1305608v1_genomic  GCA_013056265.1_ASM1305626v1_genomic  GCA_015699985.1_ASM1569998v1_genomic  GCA_015700015.1_ASM1570001v1_genomic  GCA_015700025.1_ASM1570002v1_genomic  GCA_016805585.1_ASM1680558v1_genomic  GCA_019165445.1_ASM1916544v1_genomic  GCA_019165455.1_ASM1916545v1_genomic  GCA_019165465.1_ASM1916546v1_genomic  GCA_019165505.1_ASM1916550v1_genomic  GCA_019165545.1_ASM1916554v1_genomic  GCA_019165565.1_ASM1916556v1_genomic  GCA_019165575.1_ASM1916557v1_genomic  GCA_019165595.1_ASM1916559v1_genomic  GCA_019165615.1_ASM1916561v1_genomic  GCA_019165645.1_ASM1916564v1_genomic  GCA_019165655.1_ASM1916565v1_genomic  GCA_019165675.1_ASM1916567v1_genomic  GCA_019165705.1_ASM1916570v1_genomic  GCA_019165725.1_ASM1916572v1_genomic  GCA_019165745.1_ASM1916574v1_genomic  GCA_019165765.1_ASM1916576v1_genomic  GCA_019165775.1_ASM1916577v1_genomic  GCA_019165785.1_ASM1916578v1_genomic  GCA_019165815.1_ASM1916581v1_genomic  GCA_019165845.1_ASM1916584v1_genomic  GCA_019165865.1_ASM1916586v1_genomic  GCA_019165875.1_ASM1916587v1_genomic  GCA_019165885.1_ASM1916588v1_genomic  GCA_019165925.1_ASM1916592v1_genomic  GCA_019165945.1_ASM1916594v1_genomic  GCA_019165965.1_ASM1916596v1_genomic  GCA_019249995.1_ASM1924999v1_genomic  GCA_022760655.1_ASM2276065v1_genomic  GCA_022760695.1_ASM2276069v1_genomic  GCA_023062675.1_ASM2306267v1_genomic  GCA_023062695.1_ASM2306269v1_genomic  GCA_023062715.1_ASM2306271v1_genomic  GCA_023062725.1_ASM2306272v1_genomic  GCA_023062815.1_ASM2306281v1_genomic  GCA_023062825.1_ASM2306282v1_genomic  GCA_023062855.1_ASM2306285v1_genomic  GCA_023062875.1_ASM2306287v1_genomic  GCA_023062915.1_ASM2306291v1_genomic  GCA_023062955.1_ASM2306295v1_genomic  GCA_023062965.1_ASM2306296v1_genomic  GCA_023063055.1_ASM2306305v1_genomic  GCA_023063065.1_ASM2306306v1_genomic  GCA_023472865.1_ASM2347286v1_genomic  GCA_024136565.1_ASM2413656v1_genomic  GCA_024136585.1_ASM2413658v1_genomic  GCA_024136605.1_ASM2413660v1_genomic  GCA_024136625.1_ASM2413662v1_genomic  GCA_024136645.1_ASM2413664v1_genomic  GCA_024136665.1_ASM2413666v1_genomic  GCA_024136685.1_ASM2413668v1_genomic  GCA_024136695.1_ASM2413669v1_genomic  GCA_024136725.1_ASM2413672v1_genomic  GCA_024136745.1_ASM2413674v1_genomic  GCA_024136765.1_ASM2413676v1_genomic  GCA_024136775.1_ASM2413677v1_genomic  GCA_024136805.1_ASM2413680v1_genomic  GCA_024136825.1_ASM2413682v1_genomic  GCA_024136845.1_ASM2413684v1_genomic  GCA_024136865.1_ASM2413686v1_genomic  GCA_024136875.1_ASM2413687v1_genomic  GCA_024136905.1_ASM2413690v1_genomic  GCA_025762435.1_ASM2576243v1_genomic  GCA_025762455.1_ASM2576245v1_genomic  GCA_025762465.1_ASM2576246v1_genomic  GCA_025762525.1_ASM2576252v1_genomic  GCA_025762555.1_ASM2576255v1_genomic  GCA_025762565.1_ASM2576256v1_genomic  GCA_025762575.1_ASM2576257v1_genomic  GCA_025762615.1_ASM2576261v1_genomic  GCA_025762625.1_ASM2576262v1_genomic  GCA_025762655.1_ASM2576265v1_genomic  GCA_025762675.1_ASM2576267v1_genomic  GCA_026156485.1_ASM2615648v1_genomic  GCA_026156495.1_ASM2615649v1_genomic  GCA_026156505.1_ASM2615650v1_genomic  GCA_026156535.1_ASM2615653v1_genomic  GCA_026156565.1_ASM2615656v1_genomic  GCA_026156585.1_ASM2615658v1_genomic  GCA_026156605.1_ASM2615660v1_genomic  GCA_026623375.1_ASM2662337v1_genomic  GCA_026623445.1_ASM2662344v1_genomic  GCA_026623805.1_ASM2662380v1_genomic  GCA_026623815.1_ASM2662381v1_genomic  GCA_026623985.1_ASM2662398v1_genomic  GCA_026624025.1_ASM2662402v1_genomic  GCA_026624045.1_ASM2662404v1_genomic  GCA_026624205.1_ASM2662420v1_genomic  GCA_026624445.1_ASM2662444v1_genomic  GCA_026624925.1_ASM2662492v1_genomic  GCA_026625005.1_ASM2662500v1_genomic  GCA_029663005.1_ASM2966300v1_genomic  GCA_029663205.1_ASM2966320v1_genomic  GCA_029663245.1_ASM2966324v1_genomic  GCA_029664645.1_ASM2966464v1_genomic  GCA_033194675.1_ASM3319467v1_genomic  GCA_036530675.1_ASM3653067v1_genomic  GCA_040715865.1_ASM4071586v1_genomic  GCA_040715925.1_ASM4071592v1_genomic  GCA_040716125.1_ASM4071612v1_genomic  GCA_041198405.1_ASM4119840v1_genomic  GCA_041224705.1_ASM4122470v1_genomic  GCA_041224745.1_ASM4122474v1_genomic  GCA_041224775.1_ASM4122477v1_genomic  GCA_041224785.1_ASM4122478v1_genomic  GCA_041224805.1_ASM4122480v1_genomic  GCA_041224835.1_ASM4122483v1_genomic  GCA_900079675.1_KPHVMX_PRJEB13452_wgs.embl.gz_genomic  GCF_000710075.1_KlePne1.0_genomic  GCF_001275285.1_ASM127528v1_genomic  GCF_001275295.1_ASM127529v1_genomic  GCF_001275305.1_ASM127530v1_genomic  GCF_001884765.1_ASM188476v1_genomic  GCF_001939885.1_ASM193988v1_genomic  GCF_040538135.1_ASM4053813v1_genomic  GCF_040538155.1_ASM4053815v1_genomic  GCF_040538195.1_ASM4053819v1_genomic  GCF_040538215.1_ASM4053821v1_genomic  GCF_040538245.1_ASM4053824v1_genomic  GCF_040538265.1_ASM4053826v1_genomic  573.73027  573.73035  573.78084  573.78607  573.78609  573.78610  573.78611  573.78612  573.78613  573.78616  573.78617  573.78618  573.78619  573.78620  573.81255  573.81256  573.81257  573.81714  573.81762  573.81763  573.81764  573.81765  573.81766  573.81767  573.81768  573.81769  573.81770  573.81771  573.81772  573.81773  573.81774  573.81776  573.81777  573.81778  573.81789  573.81791  573.81792  573.81793  573.81794  573.81795  573.81796  573.81797  573.81798  573.81799  573.81800  573.81801  573.81802  573.81803  573.81804  573.81805  573.81806  573.81807  573.81808  573.81810  573.81811  573.81812  573.81813  573.81814  573.81815  573.81816  573.81817  573.81818  573.81819  573.81820  573.81821  573.81822  573.81877  573.83643  573.84178  573.84281  573.84285  573.84288  SRR16202829_assembled  SRR16202839_assembled  SRR16202849_assembled  SRR26896786_assembled  SRR26938680_assembled  SRR27842369_assembled  SRR28905830_assembled  SRR28905831_assembled  SRR31742341_assembled  SRR31742346_assembled
# contigs (>= 0 bp)         272                                        1                                   7                                    52                                   11                                   141                                  44                                   1                                    1                                    1                                    1                                    1                                    3                                    2                                    2                                    1                                    1                                    35                                   72                                   456                                  36                                   40                                   52                                      2                                    2                                    2                                    111                                   134                                   168                                   60                                    87                                    122                                   283                                   22                                    69                                    58                                    42                                    47                                    49                                    76                                    66                                    50                                    54                                    73                                    52                                    70                                    67                                    78                                    72                                    64                                    76                                    48                                    68                                    127                                   68                                    91                                    75                                    138                                   48                                    32                                    99                                    46                                    57                                    38                                    40                                    52                                    46                                    38                                    50                                    45                                    47                                    48                                    41                                    36                                    51                                    63                                    180                                   189                                   182                                   187                                   178                                   193                                   195                                   171                                   177                                   189                                   182                                   126                                   174                                   171                                   136                                   193                                   164                                   162                                   89                                    105                                   171                                   94                                    77                                    169                                   79                                    71                                    74                                    114                                   113                                   84                                    153                                   109                                   112                                   97                                    100                                   94                                    242                                   70                                    99                                    119                                   132                                   207                                   202                                   232                                   126                                   116                                   82                                    42                                    46                                    49                                    64                                    69                                    136                                   141                                   92                                    109                                   114                                   4                                     7                                     16                                    9                                     10                                    14                                    74                                                     133                                111                                  132                                  114                                  147                                  54                                   51                                    53                                    50                                    78                                    82                                    80                                    3          2          3          2          3          3          3          2          2          2          3          2          2          2          1          1          1          2          2          2          2          2          2          2          2          3          2          3          3          2          2          3          2          2          2          2          2          2          2          2          2          2          1          2          3          2          2          2          2          2          2          2          2          2          3          2          2          2          2          3          2          2          3          2          2          2          5          3          8          3          3          2          802                    186                    194                    182                    287                    140                    126                    116                    141                    90                   
# contigs (>= 1000 bp)      208                                        1                                   7                                    41                                   11                                   107                                  35                                   1                                    1                                    1                                    1                                    1                                    3                                    2                                    2                                    1                                    1                                    35                                   49                                   64                                   34                                   33                                   49                                      2                                    2                                    2                                    91                                    109                                   161                                   55                                    64                                    86                                    235                                   22                                    46                                    39                                    27                                    36                                    29                                    41                                    40                                    32                                    36                                    41                                    41                                    46                                    40                                    45                                    40                                    45                                    46                                    30                                    43                                    36                                    31                                    42                                    34                                    46                                    38                                    31                                    82                                    45                                    46                                    36                                    38                                    39                                    42                                    34                                    41                                    39                                    45                                    45                                    39                                    31                                    42                                    46                                    115                                   135                                   130                                   136                                   131                                   141                                   131                                   123                                   128                                   131                                   128                                   87                                    127                                   106                                   92                                    131                                   119                                   111                                   39                                    37                                    85                                    32                                    24                                    83                                    28                                    23                                    24                                    59                                    49                                    35                                    51                                    46                                    87                                    61                                    32                                    31                                    37                                    57                                    47                                    47                                    45                                    56                                    43                                    40                                    51                                    33                                    49                                    41                                    37                                    42                                    54                                    54                                    119                                   84                                    62                                    84                                    59                                    4                                     7                                     16                                    9                                     10                                    13                                    65                                                     109                                81                                   99                                   96                                   104                                  45                                   43                                    33                                    43                                    66                                    66                                    66                                    3          2          3          2          3          3          3          2          2          2          3          2          2          2          1          1          1          2          2          2          2          2          2          2          2          3          2          3          3          2          2          3          2          2          2          2          2          2          2          2          2          2          1          2          3          2          2          2          2          2          2          2          2          2          3          2          2          2          2          3          2          2          3          2          2          2          5          3          8          3          3          2          215                    44                     44                     68                     45                     29                     52                     52                     37                     35                   
# contigs (>= 5000 bp)      167                                        1                                   7                                    33                                   11                                   75                                   30                                   1                                    1                                    1                                    1                                    1                                    3                                    2                                    2                                    1                                    1                                    35                                   41                                   41                                   27                                   27                                   39                                      2                                    2                                    2                                    57                                    66                                    107                                   38                                    57                                    69                                    151                                   22                                    36                                    30                                    21                                    29                                    23                                    26                                    31                                    25                                    27                                    34                                    32                                    29                                    35                                    29                                    33                                    34                                    34                                    22                                    34                                    29                                    21                                    33                                    28                                    30                                    31                                    22                                    61                                    36                                    41                                    33                                    36                                    36                                    35                                    32                                    32                                    36                                    42                                    43                                    36                                    28                                    36                                    33                                    81                                    92                                    95                                    91                                    88                                    105                                   93                                    96                                    89                                    92                                    91                                    66                                    89                                    80                                    73                                    100                                   82                                    80                                    33                                    25                                    62                                    26                                    20                                    62                                    24                                    19                                    19                                    41                                    38                                    28                                    32                                    37                                    62                                    35                                    26                                    25                                    30                                    47                                    39                                    38                                    36                                    43                                    37                                    36                                    44                                    30                                    37                                    33                                    28                                    27                                    40                                    45                                    93                                    62                                    45                                    50                                    41                                    4                                     7                                     13                                    7                                     10                                    10                                    52                                                     88                                 62                                   65                                   66                                   60                                   33                                   34                                    29                                    36                                    57                                    57                                    56                                    3          2          3          2          3          3          3          2          2          2          3          2          2          2          1          1          1          2          2          2          2          2          2          2          2          3          2          3          3          2          2          2          2          2          2          2          2          2          2          2          2          2          1          2          3          2          2          2          2          2          2          2          2          2          3          2          2          2          2          2          2          2          3          2          2          2          5          2          8          3          3          2          44                     35                     36                     51                     36                     26                     42                     41                     28                     27                   
# contigs (>= 10000 bp)     142                                        1                                   6                                    30                                   11                                   61                                   28                                   1                                    1                                    1                                    1                                    1                                    3                                    2                                    2                                    1                                    1                                    34                                   39                                   38                                   27                                   26                                   30                                      2                                    2                                    2                                    49                                    53                                    74                                    37                                    55                                    62                                    113                                   22                                    33                                    29                                    20                                    28                                    21                                    25                                    30                                    24                                    26                                    32                                    31                                    28                                    30                                    28                                    32                                    31                                    29                                    22                                    31                                    28                                    21                                    30                                    27                                    30                                    29                                    22                                    55                                    36                                    38                                    29                                    34                                    36                                    35                                    29                                    32                                    34                                    41                                    39                                    34                                    28                                    36                                    33                                    64                                    79                                    80                                    79                                    75                                    88                                    76                                    78                                    78                                    74                                    74                                    55                                    73                                    66                                    63                                    79                                    69                                    66                                    30                                    23                                    53                                    25                                    20                                    53                                    24                                    19                                    18                                    37                                    35                                    26                                    27                                    30                                    54                                    28                                    25                                    24                                    30                                    46                                    37                                    35                                    34                                    40                                    35                                    32                                    42                                    29                                    36                                    33                                    27                                    26                                    37                                    41                                    77                                    58                                    41                                    46                                    37                                    4                                     5                                     13                                    7                                     9                                     9                                     50                                                     78                                 51                                   56                                   56                                   49                                   27                                   34                                    29                                    36                                    53                                    53                                    52                                    3          2          3          2          3          3          3          2          2          2          3          2          2          2          1          1          1          2          2          2          2          2          2          2          2          3          2          3          3          2          2          2          2          2          2          2          2          2          2          2          2          2          1          2          3          2          2          2          2          2          2          2          2          2          3          2          2          2          2          2          2          2          3          2          2          2          5          2          8          3          3          2          41                     34                     35                     48                     34                     26                     40                     39                     27                     26                   
# contigs (>= 25000 bp)     84                                         1                                   6                                    26                                   11                                   40                                   23                                   1                                    1                                    1                                    1                                    1                                    3                                    2                                    2                                    1                                    1                                    31                                   34                                   32                                   23                                   25                                   26                                      2                                    2                                    2                                    35                                    38                                    51                                    33                                    46                                    53                                    73                                    22                                    30                                    26                                    17                                    24                                    19                                    21                                    26                                    22                                    22                                    28                                    26                                    22                                    24                                    23                                    28                                    25                                    25                                    20                                    26                                    24                                    20                                    25                                    23                                    24                                    26                                    22                                    46                                    32                                    32                                    26                                    29                                    30                                    33                                    27                                    28                                    31                                    37                                    30                                    30                                    25                                    31                                    27                                    49                                    56                                    53                                    53                                    54                                    53                                    54                                    56                                    54                                    55                                    58                                    41                                    55                                    49                                    49                                    49                                    46                                    54                                    27                                    20                                    49                                    22                                    19                                    45                                    22                                    17                                    18                                    30                                    29                                    21                                    22                                    27                                    46                                    26                                    22                                    23                                    27                                    41                                    34                                    32                                    31                                    35                                    30                                    29                                    38                                    28                                    29                                    28                                    24                                    23                                    30                                    33                                    57                                    43                                    35                                    37                                    30                                    3                                     4                                     10                                    4                                     8                                     6                                     40                                                     57                                 37                                   40                                   41                                   33                                   25                                   31                                    27                                    32                                    41                                    41                                    39                                    3          2          3          2          3          3          3          2          2          2          2          2          2          2          1          1          1          2          2          2          2          2          2          2          2          3          2          2          3          2          2          2          2          1          2          2          2          2          2          2          2          2          1          2          3          2          2          2          2          2          2          2          2          2          2          2          2          2          2          2          2          2          3          2          2          2          4          2          7          3          3          2          34                     31                     31                     31                     33                     23                     32                     31                     25                     23                   
# contigs (>= 50000 bp)     28                                         1                                   5                                    20                                   10                                   31                                   20                                   1                                    1                                    1                                    1                                    1                                    3                                    2                                    2                                    1                                    1                                    26                                   27                                   27                                   21                                   20                                   23                                      2                                    2                                    2                                    26                                    27                                    35                                    25                                    38                                    32                                    36                                    21                                    23                                    21                                    15                                    20                                    16                                    17                                    20                                    19                                    17                                    23                                    21                                    19                                    20                                    20                                    23                                    21                                    20                                    18                                    21                                    21                                    18                                    21                                    17                                    21                                    20                                    18                                    33                                    26                                    25                                    22                                    26                                    24                                    28                                    20                                    23                                    28                                    30                                    27                                    22                                    20                                    25                                    23                                    36                                    42                                    39                                    40                                    41                                    37                                    38                                    40                                    40                                    39                                    40                                    33                                    37                                    34                                    36                                    38                                    38                                    40                                    23                                    17                                    35                                    18                                    16                                    36                                    19                                    15                                    16                                    22                                    23                                    15                                    16                                    21                                    33                                    19                                    16                                    20                                    24                                    32                                    28                                    26                                    23                                    30                                    24                                    24                                    29                                    26                                    25                                    21                                    19                                    19                                    24                                    28                                    39                                    28                                    23                                    29                                    22                                    3                                     3                                     8                                     3                                     5                                     4                                     28                                                     35                                 30                                   30                                   30                                   27                                   22                                   24                                    21                                    25                                    30                                    30                                    30                                    3          2          2          2          3          3          3          2          2          2          2          2          2          2          1          1          1          2          2          2          2          2          2          2          2          3          2          2          2          2          2          2          2          1          2          2          2          2          2          2          2          2          1          2          3          2          2          2          2          2          2          2          2          2          2          2          2          2          2          2          2          2          3          2          2          2          4          2          6          3          3          2          25                     24                     28                     25                     26                     19                     25                     25                     20                     19                   
Total length (>= 0 bp)      5368567                                    5166857                             5880491                              5735416                              5084170                              5566995                              5691415                              5324579                              5478203                              5339613                              5187330                              5405065                              5649218                              5624748                              5540843                              5061886                              4766516                              5327808                              5224880                              5823851                              5436400                              5645511                              5194240                                 5611260                              5606998                              5410532                              5838710                               5839796                               5864330                               5436358                               5561099                               5695948                               5823441                               5080191                               5480265                               5420647                               5182909                               5170167                               5538201                               5287556                               5422566                               5411505                               5438157                               5422902                               5418872                               5606739                               5634939                               5647353                               5500581                               5530399                               5480610                               5351488                               5529224                               5603979                               5194692                               5655067                               5210606                               5622246                               5471096                               5501584                               5375063                               5201193                               5342454                               5592133                               5615373                               5222165                               5521753                               5424998                               5541457                               5372641                               5446982                               5599298                               5527203                               5488926                               5341931                               5560224                               5696989                               5785702                               5824622                               5784010                               5785298                               5821880                               5818063                               5678744                               5784705                               5820422                               5717733                               5641730                               5759856                               5678056                               5690907                               5786513                               5738911                               5873046                               5530625                               5660916                               5856052                               5431215                               5320021                               5822584                               5426739                               5492256                               5357791                               5529144                               5736223                               5400180                               5386196                               5624350                               5731128                               5596439                               5460021                               5611186                               5658765                               5546741                               5905352                               5588389                               5453812                               5406556                               5512055                               5459616                               5566124                               5266954                               5474854                               5455927                               5566598                               5184959                               5535881                               5605303                               5572837                               5689826                               5403106                               5384988                               5529144                               5952812                               5679372                               6225928                               5737146                               5800722                               5788655                               5486775                                                5432440                            5549085                              5705964                              5695375                              5737507                              5606371                              5175011                               5398652                               5170969                               5372334                               5377398                               5375882                               5829692    5443771    5677992    5664435    5590887    5763254    5754344    5524127    5579233    5786537    5544409    5533786    5542303    5495756    5295762    5290865    5295770    5558404    5674051    5636660    5543594    5404828    5676595    5552216    5832049    5718204    5396318    5435888    5609663    5670460    5533436    5700631    5448892    5220167    5329583    5329521    5666271    5557348    5575796    5591987    5613214    5473969    5205922    5543914    5583236    5637332    5636127    5420526    5547845    5690186    5482950    5669416    5306895    5449487    5504540    5636887    5677222    5432734    5478479    5639947    5722124    5473728    5468180    5216655    5695762    5513178    5865361    5632902    5671405    5753127    5728873    5812850    5976002                5520190                5581637                5619913                5501550                5361203                5540037                5533976                5761087                5646599              
Total length (>= 1000 bp)   5345103                                    5166857                             5880491                              5727867                              5084170                              5544116                              5688687                              5324579                              5478203                              5339613                              5187330                              5405065                              5649218                              5624748                              5540843                              5061886                              4766516                              5327808                              5215413                              5671166                              5435069                              5640404                              5192214                                 5611260                              5606998                              5410532                              5823994                               5822138                               5858560                               5432674                               5552965                               5682703                               5797412                               5080191                               5471502                               5415105                               5176762                               5165159                               5529782                               5275158                               5414304                               5403884                               5432282                               5411411                               5415198                               5596077                               5621637                               5632756                               5486407                               5521728                               5466605                               5345750                               5517466                               5572745                               5180011                               5635101                               5197523                               5584497                               5467550                               5500864                               5363722                               5200667                               5335714                               5590382                               5613656                               5214676                               5519284                               5421769                               5536111                               5368116                               5445245                               5596576                               5525503                               5485117                               5336907                               5551390                               5669692                               5766050                               5804490                               5765228                               5767605                               5801960                               5790357                               5658394                               5767147                               5795665                               5697124                               5626567                               5742989                               5652099                               5673834                               5762140                               5722016                               5853904                               5513574                               5634983                               5826637                               5408926                               5301719                               5791625                               5408088                               5476937                               5340198                               5510370                               5711210                               5383121                               5352793                               5602504                               5718979                               5578082                               5438257                               5590619                               5601438                               5538142                               5886966                               5565039                               5425710                               5359096                               5465169                               5404407                               5541661                               5240666                               5462765                               5455112                               5559905                               5180028                               5528802                               5596942                               5565369                               5662562                               5388679                               5373325                               5510370                               5952812                               5679372                               6225928                               5737146                               5800722                               5788134                               5481360                                                5416853                            5530452                              5684542                              5684213                              5710842                              5600352                              5172604                               5391897                               5167423                               5367561                               5369382                               5369211                               5829692    5443771    5677992    5664435    5590887    5763254    5754344    5524127    5579233    5786537    5544409    5533786    5542303    5495756    5295762    5290865    5295770    5558404    5674051    5636660    5543594    5404828    5676595    5552216    5832049    5718204    5396318    5435888    5609663    5670460    5533436    5700631    5448892    5220167    5329583    5329521    5666271    5557348    5575796    5591987    5613214    5473969    5205922    5543914    5583236    5637332    5636127    5420526    5547845    5690186    5482950    5669416    5306895    5449487    5504540    5636887    5677222    5432734    5478479    5639947    5722124    5473728    5468180    5216655    5695762    5513178    5865361    5632902    5671405    5753127    5728873    5812850    5745203                5488079                5553018                5572707                5456248                5339229                5513832                5511863                5719350                5628288              
Total length (>= 5000 bp)   5228674                                    5166857                             5880491                              5709316                              5084170                              5459816                              5678875                              5324579                              5478203                              5339613                              5187330                              5405065                              5649218                              5624748                              5540843                              5061886                              4766516                              5327808                              5195375                              5617637                              5421452                              5623957                              5169132                                 5611260                              5606998                              5410532                              5751578                               5733870                               5708722                               5395946                               5538917                               5640583                               5575451                               5080191                               5447838                               5395459                               5163256                               5150472                               5514116                               5239209                               5394820                               5386842                               5410663                               5398256                               5395714                               5550844                               5609448                               5592964                               5468771                               5490894                               5438383                               5324094                               5492684                               5555598                               5158951                               5611748                               5185447                               5544784                               5455353                               5479326                               5318592                               5179289                               5322668                               5586057                               5608629                               5207306                               5500811                               5417296                               5508259                               5360121                               5441481                               5591129                               5519092                               5479440                               5320363                               5516616                               5588445                               5661612                               5728889                               5655503                               5664229                               5725534                               5684283                               5602812                               5677623                               5686814                               5611452                               5581858                               5656615                               5597972                               5633489                               5697278                               5644114                               5776782                               5501415                               5604884                               5773864                               5398880                               5292586                               5740245                               5399721                               5468452                               5329225                               5469594                               5682329                               5368001                               5305793                               5584581                               5659367                               5519163                               5423439                               5575365                               5580605                               5513302                               5864679                               5543232                               5403753                               5332443                               5450419                               5394480                               5524161                               5232345                               5432108                               5440046                               5537973                               5149753                               5500727                               5573488                               5500495                               5617758                               5350842                               5286211                               5469594                               5952812                               5679372                               6214891                               5731644                               5800722                               5781111                               5456036                                                5368175                            5489264                              5606652                              5614521                              5619981                              5570739                              5154111                               5382098                               5150773                               5349224                               5349333                               5345830                               5829692    5443771    5677992    5664435    5590887    5763254    5754344    5524127    5579233    5786537    5544409    5533786    5542303    5495756    5295762    5290865    5295770    5558404    5674051    5636660    5543594    5404828    5676595    5552216    5832049    5718204    5396318    5435888    5609663    5670460    5533436    5696191    5448892    5220167    5329583    5329521    5666271    5557348    5575796    5591987    5613214    5473969    5205922    5543914    5583236    5637332    5636127    5420526    5547845    5690186    5482950    5669416    5306895    5449487    5504540    5636887    5677222    5432734    5478479    5635510    5722124    5473728    5468180    5216655    5695762    5513178    5865361    5628465    5671405    5753127    5728873    5812850    5438263                5462962                5531766                5534949                5434414                5332686                5497121                5493916                5699097                5606313              
Total length (>= 10000 bp)  5044303                                    5166857                             5874350                              5691872                              5084170                              5358800                              5665946                              5324579                              5478203                              5339613                              5187330                              5405065                              5649218                              5624748                              5540843                              5061886                              4766516                              5322284                              5181291                              5600753                              5421452                              5617578                              5102741                                 5611260                              5606998                              5410532                              5697393                               5633171                               5486782                               5388287                               5522630                               5587757                               5289509                               5080191                               5423571                               5389634                               5154719                               5141935                               5502011                               5233226                               5388907                               5380961                               5405049                               5387217                               5389833                               5544995                               5583509                               5587606                               5463662                               5468195                               5400364                               5324094                               5476485                               5549718                               5158951                               5595570                               5180403                               5544784                               5444411                               5479326                               5272108                               5179289                               5304445                               5556366                               5597639                               5207306                               5500811                               5400099                               5508259                               5347338                               5435478                               5565004                               5508447                               5479440                               5320363                               5516616                               5466124                               5569009                               5627257                               5572301                               5577528                               5610066                               5567762                               5479486                               5605772                               5564961                               5496642                               5504828                               5548903                               5503094                               5558553                               5554782                               5558594                               5677266                               5480496                               5589541                               5708107                               5393554                               5292586                               5672481                               5399721                               5468452                               5319992                               5441182                               5662844                               5354059                               5268340                               5536075                               5602104                               5465095                               5414836                               5566950                               5580605                               5508078                               5848793                               5522585                               5388210                               5313399                               5436923                               5367595                               5508097                               5226326                               5423569                               5440046                               5528895                               5141707                               5479601                               5537766                               5386637                               5588849                               5320855                               5255126                               5441182                               5952812                               5668149                               6214891                               5731644                               5790857                               5773132                               5442261                                                5295616                            5409062                              5551242                              5552387                              5548655                              5527611                              5154111                               5382098                               5150773                               5321699                               5321382                               5320931                               5829692    5443771    5677992    5664435    5590887    5763254    5754344    5524127    5579233    5786537    5544409    5533786    5542303    5495756    5295762    5290865    5295770    5558404    5674051    5636660    5543594    5404828    5676595    5552216    5832049    5718204    5396318    5435888    5609663    5670460    5533436    5696191    5448892    5220167    5329583    5329521    5666271    5557348    5575796    5591987    5613214    5473969    5205922    5543914    5583236    5637332    5636127    5420526    5547845    5690186    5482950    5669416    5306895    5449487    5504540    5636887    5677222    5432734    5478479    5635510    5722124    5473728    5468180    5216655    5695762    5513178    5865361    5628465    5671405    5753127    5728873    5812850    5419047                5457261                5526243                5512102                5420892                5332686                5483948                5480743                5690903                5596346              
